"rowid","time","location","happiness","unhappiness"
"564","2011-09-03 12:00:12","1","1","0"
"565","2011-09-03 12:00:15","4","1","0"
"566","2011-09-03 12:00:27","1","1","0"
"567","2011-09-03 12:00:36","1","1","0"
"568","2011-09-03 12:00:48","3","1","0"
"569","2011-09-03 12:01:03","1","1","0"
"570","2011-09-03 12:01:10","4","0","1"
"571","2011-09-03 12:01:12","1","1","0"
"572","2011-09-03 12:01:19","4","1","0"
"573","2011-09-03 12:01:26","5","1","0"
"574","2011-09-03 12:01:35","5","0","1"
"575","2011-09-03 12:01:41","4","1","0"
"576","2011-09-03 12:01:51","4","1","1"
"577","2011-09-03 12:02:10","4","1","0"
"578","2011-09-03 12:02:16","4","1","0"
"579","2011-09-03 12:02:24","4","1","0"
"580","2011-09-03 12:02:39","5","1","0"
"581","2011-09-03 12:02:47","5","1","0"
"582","2011-09-03 12:03:00","1","1","0"
"583","2011-09-03 12:03:08","5","0","1"
"584","2011-09-03 12:03:25","4","1","0"
"585","2011-09-03 12:03:52","1","1","0"
"586","2011-09-03 12:03:57","5","1","0"
"587","2011-09-03 12:04:06","5","0","1"
"588","2011-09-03 12:04:19","4","1","0"
"589","2011-09-03 12:04:33","4","1","0"
"590","2011-09-03 12:06:09","1","1","0"
"591","2011-09-03 12:06:16","1","1","0"
"592","2011-09-03 12:06:49","4","1","0"
"593","2011-09-03 12:06:50","1","1","0"
"594","2011-09-03 12:06:56","4","1","0"
"595","2011-09-03 12:07:41","1","1","0"
"596","2011-09-03 12:07:46","4","1","0"
"597","2011-09-03 12:08:25","1","2","1"
"598","2011-09-03 12:08:58","1","1","0"
"599","2011-09-03 12:09:03","1","1","0"
"600","2011-09-03 12:09:05","4","1","0"
"601","2011-09-03 12:09:07","5","1","0"
"602","2011-09-03 12:09:13","1","1","1"
"603","2011-09-03 12:09:18","5","1","2"
"604","2011-09-03 12:09:21","4","1","0"
"605","2011-09-03 12:09:27","5","1","0"
